English,Hindi,Gujarati,Marathi,Kannada,Malayalam,Tamil,Telugu,Bengali,Assamese,Punjabi,Odia
অসমীয়া,"(For fully formatted text, see publication",[Credit Line],You are my brother.,(English Translation),(in Korean),(English Translation),(English Translation),of Assam,Assamese language,[Credit Line],(in English)
ਪੰਜਾਬੀ,Tropic of Capricorn,The Letdown,LOCATED OTHER,LOCATED OTHER,"(For fully formatted text, see publication","(For fully formatted text, see publication)",LOCATED OTHER,(in Korean),LOCATED OTHER,A-M | Punjabi,"(For fully formatted text, see publication"
ଓଡ଼ିଆ,Princely states,"e, e, t",(in Korean),"(For fully formatted text, see publication)","), (), ()","), (), (),",Princely states,"), (),",of the,", (in Korean)",Odia language
नेपाली,N-Z | Nepali,A-M | Nepali,A-M | Nepali,A-M | Nepali,A-M | Nepali,A-M | Nepali,A-M | Nepali,of Nepal,A-M | Nepali,A-M | Nepali,A-M | Nepali
डोगरी,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language,Dogri language
कोंकणी,Konkani language,A-M | Konkani,A-M | Konkani,A-M | Konkani,Konkani language,A-M | Konkani,A-M | Konkani,Konkani language,A-M | Konkani,A-M | Konkani,A-M | Konkani
सिंधी,Sindhi language,A-M | Sindhi,A-M | Sindhi,Sindhi language,Sindhi language,A-M | Sindhi,Sindhi language,Sindhi language,Sindhi language,A-M | Sindhi,Sindhi language
बोडो,Bodo people,Bodo people,Bodo people,The Bodo,Bodo people,Bodo people,Bodo people,Bodo people,Bodo people,Bodo people,Bodo people
मैथिली,Maithili language,A-M | Maithili,A-M | Maithili,A-M | Maithili,A-M | Maithili,A-M | Maithili,A-M | Maithili,Maithili language,N-Z | Maithili,A-M | Maithili,N-Z | Maithili
মণিপুরী,Psychiatry Psychiatry,Psephology and Psephology,Post Graduate Diploma in Engineering,Phonetics and Phonetics,Pesky Pesky,BUSINESS BASIC,CENTRAL ENGINEERS,Manipuri language,Manipuri language,Pontius Pilate,Phonetic Phonology
संथाली,sandalwood tree,Santali (film),Santali (film),Santali (film),The Santhali,Santali (film),Santali (Malayalam:),sandalwood tree,Santali (film),Santali language,Santhali language
اردو,is used,is used,is used,is used,is used,is the,is used,is used,is used,is used,is used
کٲشُر,is used for,of Th,is used for:,is the,is the,is the name of,(in Persian),is used,is used,is used for,is the name of
About,About% s% s,About the,About the,About to,The note,About% 1,About this,subject matter,About this,About the,About% 1
Resources,Source (s),Source of Resources,Source of Resources,Resource Mobilization,Food & Recipes,The Resources,Source of Resources,resources and resources.,Content (s),Source (s),Source (s)
Resources,Source (s),Source of Resources,Source of Resources,Resource Mobilization,Food & Recipes,The Resources,Source of Resources,resources and resources.,Content (s),Source (s),Source (s)
Vaccination Schedule,Immunization List,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule,Vaccination schedule
Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard
Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard
Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh,Mission Utkarsh
Helpdesk,Help Desk,Help desk,Helpdesk,Helpline number,Help Desk,Help Desk,Help desk,Help Desk,Help Desk,Helpdesk:,Help Desk
Beneficiary Redressal,Beneficiary Prevention / Remedies,Grievance Redressal,Beneficiary Litigation,Remuneration to beneficiaries,Beneficiary Litigation,Beneficiary Litigation,Beneficiary Compensation,Beneficiary remedy,Beneficiary Litigation,Beneficiary Litigation,Beneficiary remedy
State Helpdesk,State Support Centres,State Helpdesk,State Relief Cell,State Helpline Centre,State Aid Centre,State Help Line,State Help Desk,State Helpdesk,State Helpdesk,State Helpdesk,State assistance
FAQ,Frequently Asked Questions,Frequently Asked Questions,FAQ (),Frequently Asked Questions,Frequent questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions,Frequently Asked Questions
Poshan Calculator,Nutrition Calculator / Mapping,Grievance Redressal,Nutritional Calculator,Nutrition Calculator,Position Calculator,POSHAN Calculator,POSHAN calculator,Poshan Calculator,Nutrition Calculator,Nutritional Calculator (Calculator),Page Calculator
Login,% s Login% s,Log in,Logging in,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In
Poshan,nutrition (a),The Letdown,Nutrition & Diet,% 1 decaseconds,% 1 decaseconds,POSHAN (film),The Poshan,to ascend,nutrition (a),% 1 decaseconds,dress code
Tracker,Trekker (film),The trekker,The Tracker,The Tracker,Tracker 4.,The Tracker,The Tracker,tracker 1,tracker (s),Track (s),tracker (s)
Helping make India malnutrition free,Help Make India Malnutrition Free,Help make India malnutrition-free,Helping India get rid of malnutrition,It will help in freeing India from malnutrition,Helping India get rid of malnutrition,To help make India malnourished,Helping India eliminate malnutrition,Helping India get rid of malnutrition,Helping India get rid of malnutrition,Help make India malnutrition-free,Helping India get rid of malnutrition
Scan the QR Code to Download the App,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the application,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download now,Scan the QR code to download the app,Scan the QR code to download the app
Available in 22 different languages,Available in 22 different languages,Available in 22 languages,Available in 22 languages,Available in 22 different languages,Available in 22 different languages,Available in 22 different languages,Available in 22 languages,Available in 22 different languages,Available in 22 languages,Available in 22 languages,Available in 22 languages
Poshan,nutrition (a),The Letdown,Nutrition & Diet,% 1 decaseconds,% 1 decaseconds,POSHAN (film),The Poshan,to ascend,nutrition (a),% 1 decaseconds,dress code
Tracker,Trekker (film),The trekker,The Tracker,The Tracker,Tracker 4.,The Tracker,The Tracker,tracker 1,tracker (s),Track (s),tracker (s)
Helping make India malnutrition free,Help Make India Malnutrition Free,Help make India malnutrition-free,Helping India get rid of malnutrition,It will help in freeing India from malnutrition,Helping India get rid of malnutrition,To help make India malnourished,Helping India eliminate malnutrition,Helping India get rid of malnutrition,Helping India get rid of malnutrition,Help make India malnutrition-free,Helping India get rid of malnutrition
Poshan,nutrition (a),The Letdown,Nutrition & Diet,% 1 decaseconds,% 1 decaseconds,POSHAN (film),The Poshan,to ascend,nutrition (a),% 1 decaseconds,dress code
Tracker,Trekker (film),The trekker,The Tracker,The Tracker,Tracker 4.,The Tracker,The Tracker,tracker 1,tracker (s),Track (s),tracker (s)
Available in 22 different languages,Available in 22 different languages,Available in 22 languages,Available in 22 languages,Available in 22 different languages,Available in 22 different languages,Available in 22 different languages,Available in 22 languages,Available in 22 different languages,Available in 22 languages,Available in 22 languages,Available in 22 languages
Click on above button to get this App,Click on the above button to download the app,Click here for downloading the app,Click here for downloading the app.,Click here for downloading the app.,Click here for downloading the app,Click on the button above to avail this service.,Click here for downloading the app,Click here to download the app,Click on the button to open the gate,Click here for downloading the app.,Click here to download the app
- OR -,- OR - -,- OR - -,- OR - -,OR- (a),- OR - -,OR-OR---,- OR - -,OR - OR--,- OR - -,- OR - -,OR- (a)
Scan to Download App for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only,Scan to download app for Android only
Anganwadi Workers,Anganwari Workers,Anganwadi workers,Anganwadi Workers,Anganwadi workers,Anganawadi Workers,Anganwadi Workers,Anganwadi Workers,Anganwari workers,Anganwari workers,Anganwari workers,Anganwadi Workers
Download Mobile App from Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store,Download the app from the Play Store
Scan the QR Code to Download the App,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR Summer to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app,Scan the QR code to download the app
What’s New on Poshan Tracker,What is new in nutrition tracker,What is new on nutrition tracker,What is new on nutrition tracker,What's new in the fashion tracker,What's New on the Potion Tracker,What is new in the POSHAN tracker,What is new in POSHAN tracker,What's new in the Poshan Tracker,New key available in POSHAN tracker,What is new on nutrition tracker,What's new in the page tracker
Previous,% s (previous),% s (% s),% s (previous),_ Previous (s),_ Previous (s),_ Previous (s),% s (previous),_ Previous (s),% s (previous),% s (previous),% s (previous)
Poshan Tracker adds new application features,POSHAN tracker adds new application feature,POSHAN TRACKER Adds New App Features,Adding new application features to the POSHAN tracker,The Potion Tracker adds new app features,PoshanTracker adds new app features,Roshan Tracker Adds New App Features,The Poshan Tracker adds new application features,Poshan Tracker Adds New App Features,Adds new application feature to the Poshan Tracker,Adds new application feature to POSHAN tracker,The POSHAN tracker adds new application features
Poshan Tracker adds new Reports feature,POSHAN tracker adds new record feature,Nutrition Tracker Adds Features to New Reports,New report feature added by POSHAN Tracker,Potion Tracker Adds New Reporting Feature,Adding new features,Roshan Tracker Adds New Reports feature,Poshan Tracker Adds New Reports Feature,Poshan Tracker Adds a New Report Feature,Adding New Reporting Facility in Poshan Tracker,Adds new report feature to POSHAN tracker,New report adds features to the nutrition tracker
Poshan Tracker adds new Resources on Website,POSHAN tracker has added new resources on the website facility,Poshan Tracker adds new resources to highlight the website,Adds new resources to the position tracker website feature,The Poshan Tracker adds new resources to the website feature,Adding new resources to the website,Adding new resources to the Roshan Portal,The Poshan Tracker website adds new resources to the feature,Adding New Resources to Poshan Tracker Website Features,New content added to website facility by Poshan Tracker,New website adds source feature to POSHAN tracker,Adds new sources to the POSHAN Tracker website feature
Next,Next to,Next to,Next to,Next up,Next in line,Next Slide,Next up,Next to,Next to,Next Slide,Next Slide
Resources for growth monitoring and general awareness,Resources for Development Monitoring and General Awareness,Resources for monitoring growth and general awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness,Resources for Growth Monitoring and General Understanding,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for development monitoring and general awareness,Sources for Development Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness
Growth monitoring charts,Development Supervision Chart,Table relating to Growth Monitoring,Growth Monitoring Chart,Growth Monitoring Chart,Growth Monitoring Charts,Growth Monitoring Maps,Growth Monitoring Maps,Growth Monitoring Chart,Development Monitor Chart,Development Monitoring Chart,Growth Monitoring Charts
New beneficiary addition with skip OTP option,New beneficiary combination with skip OTP option,To add new beneficiary with OTP option,"Inclusion of new beneficiaries with options, excluding OTP",New beneficiary added with OTP option,Inclusion of new beneficiaries excluding OTP,New user addition with ODB avoidance option,New beneficiary added with OTP option,New Consumers Added With OTP Option,Adding new benefits to the Skip OTP option,New Beneficiary Edition with OTP Skip option,Add new beneficiary with OTP option
Mobile number need to be validated within a week,The mobile number needs to be verified within a week,A mobile number is required to be authenticated within a week,Verification of mobile number is required within a week,Validation of mobile number to be done within a week,The mobile number should be authenticated within a week,Mobile number to be verified within a week,Verification of Mobile Number to be done within a week,Mobile number to be verified within a week,Mobile phones to be validated within a week,Mobile Number to be Validated in a week,Mobile number must be valid within a week
Anganwadi Worker profile page,Anganwadi Workers Profile Page,Profile Page of Anganwadi Worker,Anganwadi Worker Description Page,Profile Page of Anganwadi Workers,Profile Page of Anganwadi Worker,Anganwadi Workers profile page,Anganwadi Worker Profile Page,Profile Page of Anganwadi Workers,Anganwadi Workers profile page,Anganwadi Workers Profile Page,Profile Page of Anganwadi Workers
Stunting and Underweight Growth Parameters,Dwarfism and underweight development parameters,Growth Stoppage and Low Weight Growth Norms,Criteria for Stunting and Low Weight,Slow and low weight growth parameters,Growth parameters of obesity and weight loss,Obstetric and underweight growth parameters,Indigestion & reduced weight,Stunting and low weight gain parameters,Criteria for Stunting and Low Weight Development,Stunting and Low Weight Development Criteria,Stunting and low weight growth parameters
Beneficiaries status change notifications,Status Change Notifications of Beneficiaries,Notifications on revision of beneficiary status,Alteration of beneficiaries status,Notifications for change in status of beneficiaries,Notifications for change of beneficiary,User Switch-over Notices,Notifications for change in status of beneficiaries,Notifications for change in status of beneficiaries,Change in status of benefits,Changes in status notifications of beneficiaries,Notifications for change in status of beneficiaries
Migrated from one category to another,Transfer from one category to another,Migrated from one category to another,Migrating from one category to another,Migration from one class to another,Moving from one category to another,He has changed from one category to another,They have moved from one category to another,transferred from one class to another,Migrating from one class to another,Changing from one category to another,Moved from one class to another
Beneficiary record becoming inactive,Record of Inactive Beneficiary,Beneficiary records are becoming inoperative,Beneficiary records are being disabled,Beneficiary records are being disabled,Beneficiary data becomes inactive,User registration has become inactive,Beneficiary records become inactive,Beneficiary records become inactive,Disabling Beneficiary Record,Inactive Beneficiary Record,Disabling Beneficiary records
Beneficiary migration from one AWC to another AWC,Transfer of beneficiary from one AWC to another AWC,Transfer of one beneficiary from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Migration of beneficiaries from one AWC to another AWC,Beneficiary migrates from one AWC to another AWC,Transfer of user from one AMC to another AMC,Transfer of beneficiary from one AWC to another AWC,Transfer of beneficiaries from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Transfer of beneficiary from one AWC to another AWC
Beneficiary deletion by AWW,Deletion of beneficiary by AWW,Deletion of beneficiaries by AWW,Removal of Beneficiaries through AWC,Beneficiary deletion through AWW,Deletes AWW Beneficiary,Removal of User by AWC,Removal of Beneficiary through AWW,Deletion of beneficiaries by AWW,Waiver of benefits by AWC,Deletion of beneficiaries by AWW,Removal of Beneficiaries by AWW
Default language selection,Default Language Selection,Select the default language,Default Language Selection,Select the default language,Select the default language,Default Language Selection,Default Language Selection,Select the default language,Default Language Selection,Default Language Selection,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","Beneficiary AWW anxiety accessibility, with status update once resolved","Status update related to beneficiary access to Anganwadi Worker (AWW), once resolved","Beneficiaries are related to the accessibility of AWW, with status update after resolution","Beneficiary will take care of the admission to AWW, with an update of the status once resolved","Beneficiaries concerns on change to AWW, status should be updated once it is resolved",User concerns about approaching AWW were addressed once along with status updates,"Beneficiary concerns including access to AWW, once resolved status update","Concern over Accessibility in Beneficiary AWW, Single Solution with Status Update","Beneficiary Concerns about Access to AWC, Status Update as Resolved","Beneficiaries express concern of access from AWW, including status updates when approved","Beneficiary thinks about accessibility to AWW, with status update once resolved"
Growth monitoring report for all health indicators,Development Monitoring Report for all Health Indicators,Monitoring of the Report on Growth for All Health Indices,Enhancement Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Progress Report for all Health Indicators,Development Monitoring Report for all health indicators,Growth Monitoring Report for all Health Indicators
Application downloaded status by AWW,Status of application download by Anganwadi Worker,Status of downloading of application by AWW,Growth Monitoring Report for all Health Indicators,Status of downloading the app through AWW,Status of downloading AWW application,Status of downloading of App by AWW,Status of application downloaded by AWW,Status of application downloaded by AWW,Status of application downloading through AWC,App downloaded by AWW,Application download status by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,Beneficiary Census Report: Number of records of inactivation and number of records going from one category to another category,Beneficiary Enumeration Report: Number of records getting inactive and number of records getting transferred from one category to another category,Beneficiary Enumeration Report: Number of Inactive Entries and Number of Entries Migrating from one Category to another,Beneficiary Enumeration Report: Number of inoperative records and number of documents being transferred from one category to another,"Number of Beneficiaries reported: Number of records that have been deactivated, number of records that have been shifted from one category to another",User-NUMBER REPORT: Number of dormant entries and number of entries which vary from one category to another,Beneficiary Enumeration Report: Number of records which are being inactive and number of records which are being converted from one category to another category,Number of records inoperative and number of records transferred from one department to another,Benefit Count Report: Number of records disabled and number of records migrating from one category to another category,Beneficiary count report: Inactive multiple records and conversion of multiple records from one category to another,Beneficiary Census Report: Number of records deactivated and transferred from one class to another
Resources for growth monitoring and general awareness,Resources for Development Monitoring and General Awareness,Resources for monitoring growth and general awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness,Resources for Growth Monitoring and General Understanding,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for development monitoring and general awareness,Sources for Development Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness
Growth monitoring charts,Development Supervision Chart,Table relating to Growth Monitoring,Growth Monitoring Chart,Growth Monitoring Chart,Growth Monitoring Charts,Growth Monitoring Maps,Growth Monitoring Maps,Growth Monitoring Chart,Development Monitor Chart,Development Monitoring Chart,Growth Monitoring Charts
New beneficiary addition with skip OTP option,New beneficiary combination with skip OTP option,To add new beneficiary with OTP option,"Inclusion of new beneficiaries with options, excluding OTP",New beneficiary added with OTP option,Inclusion of new beneficiaries excluding OTP,New user addition with ODB avoidance option,New beneficiary added with OTP option,New Consumers Added With OTP Option,Adding new benefits to the Skip OTP option,New Beneficiary Edition with OTP Skip option,Add new beneficiary with OTP option
Mobile number need to be validated within a week,The mobile number needs to be verified within a week,A mobile number is required to be authenticated within a week,Verification of mobile number is required within a week,Validation of mobile number to be done within a week,The mobile number should be authenticated within a week,Mobile number to be verified within a week,Verification of Mobile Number to be done within a week,Mobile number to be verified within a week,Mobile phones to be validated within a week,Mobile Number to be Validated in a week,Mobile number must be valid within a week
Anganwadi Worker profile page,Anganwadi Workers Profile Page,Profile Page of Anganwadi Worker,Anganwadi Worker Description Page,Profile Page of Anganwadi Workers,Profile Page of Anganwadi Worker,Anganwadi Workers profile page,Anganwadi Worker Profile Page,Profile Page of Anganwadi Workers,Anganwadi Workers profile page,Anganwadi Workers Profile Page,Profile Page of Anganwadi Workers
Stunting and Underweight Growth Parameters,Dwarfism and underweight development parameters,Growth Stoppage and Low Weight Growth Norms,Criteria for Stunting and Low Weight,Slow and low weight growth parameters,Growth parameters of obesity and weight loss,Obstetric and underweight growth parameters,Indigestion & reduced weight,Stunting and low weight gain parameters,Criteria for Stunting and Low Weight Development,Stunting and Low Weight Development Criteria,Stunting and low weight growth parameters
Beneficiaries status change notifications,Status Change Notifications of Beneficiaries,Notifications on revision of beneficiary status,Alteration of beneficiaries status,Notifications for change in status of beneficiaries,Notifications for change of beneficiary,User Switch-over Notices,Notifications for change in status of beneficiaries,Notifications for change in status of beneficiaries,Change in status of benefits,Changes in status notifications of beneficiaries,Notifications for change in status of beneficiaries
Migrated from one category to another,Transfer from one category to another,Migrated from one category to another,Migrating from one category to another,Migration from one class to another,Moving from one category to another,He has changed from one category to another,They have moved from one category to another,transferred from one class to another,Migrating from one class to another,Changing from one category to another,Moved from one class to another
Beneficiary record becoming inactive,Record of Inactive Beneficiary,Beneficiary records are becoming inoperative,Beneficiary records are being disabled,Beneficiary records are being disabled,Beneficiary data becomes inactive,User registration has become inactive,Beneficiary records become inactive,Beneficiary records become inactive,Disabling Beneficiary Record,Inactive Beneficiary Record,Disabling Beneficiary records
Beneficiary migration from one AWC to another AWC,Transfer of beneficiary from one AWC to another AWC,Transfer of one beneficiary from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Migration of beneficiaries from one AWC to another AWC,Beneficiary migrates from one AWC to another AWC,Transfer of user from one AMC to another AMC,Transfer of beneficiary from one AWC to another AWC,Transfer of beneficiaries from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Beneficiary migration from one AWC to another AWC,Transfer of beneficiary from one AWC to another AWC
Beneficiary deletion by AWW,Deletion of beneficiary by AWW,Deletion of beneficiaries by AWW,Removal of Beneficiaries through AWC,Beneficiary deletion through AWW,Deletes AWW Beneficiary,Removal of User by AWC,Removal of Beneficiary through AWW,Deletion of beneficiaries by AWW,Waiver of benefits by AWC,Deletion of beneficiaries by AWW,Removal of Beneficiaries by AWW
Default language selection,Default Language Selection,Select the default language,Default Language Selection,Select the default language,Select the default language,Default Language Selection,Default Language Selection,Select the default language,Default Language Selection,Default Language Selection,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","Beneficiary AWW anxiety accessibility, with status update once resolved","Status update related to beneficiary access to Anganwadi Worker (AWW), once resolved","Beneficiaries are related to the accessibility of AWW, with status update after resolution","Beneficiary will take care of the admission to AWW, with an update of the status once resolved","Beneficiaries concerns on change to AWW, status should be updated once it is resolved",User concerns about approaching AWW were addressed once along with status updates,"Beneficiary concerns including access to AWW, once resolved status update","Concern over Accessibility in Beneficiary AWW, Single Solution with Status Update","Beneficiary Concerns about Access to AWC, Status Update as Resolved","Beneficiaries express concern of access from AWW, including status updates when approved","Beneficiary thinks about accessibility to AWW, with status update once resolved"
Growth monitoring report for all health indicators,Development Monitoring Report for all Health Indicators,Monitoring of the Report on Growth for All Health Indices,Enhancement Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Growth Monitoring Report for all Health Indicators,Progress Report for all Health Indicators,Development Monitoring Report for all health indicators,Growth Monitoring Report for all Health Indicators
Application downloaded status by AWW,Status of application download by Anganwadi Worker,Status of downloading of application by AWW,Growth Monitoring Report for all Health Indicators,Status of downloading the app through AWW,Status of downloading AWW application,Status of downloading of App by AWW,Status of application downloaded by AWW,Status of application downloaded by AWW,Status of application downloading through AWC,App downloaded by AWW,Application download status by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,Beneficiary Census Report: Number of records of inactivation and number of records going from one category to another category,Beneficiary Enumeration Report: Number of records getting inactive and number of records getting transferred from one category to another category,Beneficiary Enumeration Report: Number of Inactive Entries and Number of Entries Migrating from one Category to another,Beneficiary Enumeration Report: Number of inoperative records and number of documents being transferred from one category to another,"Number of Beneficiaries reported: Number of records that have been deactivated, number of records that have been shifted from one category to another",User-NUMBER REPORT: Number of dormant entries and number of entries which vary from one category to another,Beneficiary Enumeration Report: Number of records which are being inactive and number of records which are being converted from one category to another category,Number of records inoperative and number of records transferred from one department to another,Benefit Count Report: Number of records disabled and number of records migrating from one category to another category,Beneficiary count report: Inactive multiple records and conversion of multiple records from one category to another,Beneficiary Census Report: Number of records deactivated and transferred from one class to another
Resources for growth monitoring and general awareness,Resources for Development Monitoring and General Awareness,Resources for monitoring growth and general awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness,Resources for Growth Monitoring and General Understanding,Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness,Resources for development monitoring and general awareness,Sources for Development Monitoring and General Awareness,Resources for Growth Monitoring and Public Awareness
Growth monitoring charts,Development Supervision Chart,Table relating to Growth Monitoring,Growth Monitoring Chart,Growth Monitoring Chart,Growth Monitoring Charts,Growth Monitoring Maps,Growth Monitoring Maps,Growth Monitoring Chart,Development Monitor Chart,Development Monitoring Chart,Growth Monitoring Charts
Poshan Calculator,Nutrition Calculator / Mapping,Nutritional Calculator,Nutritional Calculator,Nutrition Calculator,Position Calculator,POSHAN Calculator,POSHAN calculator,Poshan Calculator,Nutrition Calculator,Nutritional Calculator (Calculator),Page Calculator
